,Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date
290,Jayuya,41,0.0,0.0,1.0,2.0,21.0,16,1.0,2010-04-01
291,Arroyo,81,2.0,0.0,1.0,7.0,24.0,45,2.0,2010-04-01
292,Cayey,352,8.0,1.0,15.0,11.0,83.0,219,15.0,2010-04-01
293,Adjuntas,131,0.0,0.0,8.0,2.0,56.0,61,4.0,2010-04-01
294,Humacao,436,2.0,0.0,35.0,19.0,182.0,195,3.0,2010-04-01
295,Hormigueros,62,0.0,0.0,4.0,0.0,35.0,20,3.0,2010-04-01
296,Hatillo,125,0.0,0.0,11.0,1.0,53.0,26,34.0,2010-04-01
297,Gurabo,77,1.0,0.0,7.0,8.0,36.0,13,12.0,2010-04-01
298,Guaynabo,660,10.0,0.0,77.0,18.0,115.0,379,61.0,2010-04-01
299,Ceiba,65,1.0,0.0,4.0,4.0,26.0,30,0.0,2010-04-01
300,Guayama,306,6.0,0.0,13.0,21.0,83.0,175,8.0,2010-04-01
301,Guánica,39,0.0,0.0,4.0,6.0,7.0,19,3.0,2010-04-01
302,Florida,47,1.0,0.0,4.0,0.0,25.0,11,6.0,2010-04-01
303,Guayanilla,60,0.0,1.0,9.0,2.0,28.0,17,3.0,2010-04-01
304,Dorado,184,6.0,0.0,22.0,15.0,33.0,74,34.0,2010-04-01
305,Culebra,29,0.0,0.0,0.0,1.0,11.0,17,0.0,2010-04-01
306,Corozal,182,2.0,1.0,13.0,12.0,40.0,70,44.0,2010-04-01
307,Comerío,122,2.0,0.0,8.0,12.0,40.0,53,7.0,2010-04-01
308,Coamo,198,2.0,1.0,13.0,9.0,84.0,75,14.0,2010-04-01
309,Cidra,122,4.0,1.0,12.0,14.0,70.0,15,6.0,2010-04-01
310,Ciales,59,0.0,0.0,2.0,4.0,22.0,24,7.0,2010-04-01
311,Fajardo,198,5.0,0.0,23.0,11.0,64.0,83,12.0,2010-04-01
312,Orocovis,166,2.0,0.0,3.0,9.0,78.0,59,15.0,2010-05-01
313,Naranjito,178,1.0,0.0,13.0,6.0,59.0,73,26.0,2010-05-01
314,Naguabo,112,4.0,0.0,13.0,9.0,52.0,33,1.0,2010-05-01
315,Morovis,104,1.0,0.0,7.0,9.0,56.0,15,16.0,2010-05-01
316,Moca,98,1.0,0.0,4.0,6.0,42.0,40,5.0,2010-05-01
317,Mayagüez,872,6.0,0.0,56.0,38.0,265.0,460,47.0,2010-05-01
318,Maunabo,45,0.0,0.0,3.0,11.0,20.0,11,0.0,2010-05-01
