region,total_customers,affected_customers,created_at
PONCE,212508,1,2022-08-01T06:00:00
SAN JUAN,253068,82,2022-08-01T06:00:00
ARECIBO,177369,3,2022-08-14T00:00:00
BAYAMON,216496,537,2022-08-14T00:00:00
CAROLINA,141663,23,2022-08-14T00:00:00
CAGUAS,250514,5,2022-08-14T00:00:00
MAYAGUEZ,216605,209,2022-08-14T00:00:00
PONCE,212508,1146,2022-08-14T00:00:00
SAN JUAN,253068,324,2022-08-14T00:00:00
ARECIBO,177369,20,2022-11-07T03:00:00
BAYAMON,216496,365,2022-11-07T03:00:00
CAROLINA,141663,4,2022-11-07T03:00:00
CAGUAS,250514,260,2022-11-07T03:00:00
MAYAGUEZ,216605,40,2022-11-07T03:00:00
PONCE,212508,189,2022-11-07T03:00:00
SAN JUAN,253068,1921,2022-11-07T03:00:00
ARECIBO,177369,96,2022-04-16T00:00:00
BAYAMON,216496,4610,2022-04-16T00:00:00
CAROLINA,141663,44,2022-04-16T00:00:00
CAGUAS,250514,255,2022-04-16T00:00:00
MAYAGUEZ,216605,257,2022-04-16T00:00:00
PONCE,212508,1,2022-04-16T00:00:00
SAN JUAN,253068,6028,2022-04-16T00:00:00
ARECIBO,177369,837,2022-08-23T00:00:00
BAYAMON,216496,7901,2022-08-23T00:00:00
CAROLINA,141663,1185,2022-08-23T00:00:00
CAGUAS,250514,16,2022-08-23T00:00:00
MAYAGUEZ,216605,2130,2022-08-23T00:00:00
PONCE,212508,98,2022-08-23T00:00:00
SAN JUAN,253068,2910,2022-08-23T00:00:00
ARECIBO,177369,132,2022-11-05T00:00:00
BAYAMON,216496,23,2022-11-05T00:00:00
CAROLINA,141663,48,2022-11-05T00:00:00
CAGUAS,250514,1315,2022-11-05T00:00:00
MAYAGUEZ,216605,427,2022-11-05T00:00:00
PONCE,212508,1481,2022-11-05T00:00:00
SAN JUAN,253068,24,2022-11-05T00:00:00
ARECIBO,177369,216,2022-11-13T21:00:00
BAYAMON,216496,0,2022-11-13T21:00:00
CAROLINA,141663,0,2022-11-13T21:00:00
CAGUAS,250514,29,2022-11-13T21:00:00
MAYAGUEZ,216605,1,2022-11-13T21:00:00
PONCE,212508,22,2022-11-13T21:00:00
SAN JUAN,253068,3,2022-11-13T21:00:00
ARECIBO,177369,108,2021-11-03T06:00:00
BAYAMON,216496,215,2021-11-03T06:00:00
CAROLINA,141663,74,2021-11-03T06:00:00
CAGUAS,250514,123,2021-11-03T06:00:00
MAYAGUEZ,216605,235,2021-11-03T06:00:00
PONCE,212508,13,2021-11-03T06:00:00
SAN JUAN,253068,13,2021-11-03T06:00:00
ARECIBO,177369,30,2022-11-25T06:00:00
BAYAMON,216496,91,2022-11-25T06:00:00
CAROLINA,141663,736,2022-11-25T06:00:00
CAGUAS,250514,29,2022-11-25T06:00:00
MAYAGUEZ,216605,65,2022-11-25T06:00:00
PONCE,212508,17,2022-11-25T06:00:00
SAN JUAN,253068,134,2022-11-25T06:00:00
ARECIBO,177369,285,2022-12-24T00:00:00
BAYAMON,216496,470,2022-12-24T00:00:00
CAROLINA,141663,80,2022-12-24T00:00:00
CAGUAS,250514,2,2022-12-24T00:00:00
MAYAGUEZ,216605,0,2022-12-24T00:00:00
